May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/super-mario-all-stars.smc" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/2020-super-baseball.smc" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/7th-saga.smc" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/donkey-kong-country.smc" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/fire-team-rogue-beta.smc" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/mmpr.smc" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/mmpr-fighting-edition.smc" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	System "saturn" has no games! Ignoring it.
May 01 20:37:31 lvl1: 	Error - folder with path "/home/xerocuil/Games/wii" is not a directory!
May 01 20:37:31 lvl2: 	Parsing XML file "/home/xerocuil/.emulationstation/gamelists/wii/gamelist.xml"...
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/bomberman-hero.wad" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/mario-kart-64.wad" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/super-mario-64.wad" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/legend-of-zelda-oot.wad" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	  Warning from theme "/home/xerocuil/.emulationstation/themes/empr/wii/theme.xml"
    could not find file "./_inc/system.svg" (which resolved to "/home/xerocuil/.emulationstation/themes/empr/wii/_inc/system.svg") 
May 01 20:37:31 lvl1: 	System "snes" has no games! Ignoring it.
May 01 20:37:31 lvl1: 	  Warning from theme "/home/xerocuil/.emulationstation/themes/empr/wii/theme.xml"
    could not find file "./_inc/system.svg" (which resolved to "/home/xerocuil/.emulationstation/themes/empr/wii/_inc/system.svg") 
May 01 20:37:31 lvl1: 	  Warning from theme "/home/xerocuil/.emulationstation/themes/empr/wii/theme.xml"
    could not find file "./_inc/system.svg" (which resolved to "/home/xerocuil/.emulationstation/themes/empr/wii/_inc/system.svg") 
May 01 20:37:31 lvl1: 	  Warning from theme "/home/xerocuil/.emulationstation/themes/empr/wii/theme.xml"
    could not find file "./_inc/system.svg" (which resolved to "/home/xerocuil/.emulationstation/themes/empr/wii/_inc/system.svg") 
May 01 20:37:31 lvl1: 	System "wii" has no games! Ignoring it.
May 01 20:37:39 lvl2: 	EmulationStation cleanly shutting down.
